study_id,model_type,dataset,dp_type,epsilon,worker_id,experiment_idx,best_cv_score,final_test_score,best_params,model_path,timestamp,status
attack_naive_bayes_adult_data_eps_100.0_with_random_forest,random_forest,adult,data,100.0,,,0.23525000000000001,0.23375,"{""n_estimators"": 193, ""max_depth"": 5, ""min_samples_split"": 9, ""min_samples_leaf"": 9, ""max_features"": ""log2"", ""criterion"": ""gini""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_100.0_with_random_forest.pkl,2025-06-30 05:24:44.424350,completed
attack_naive_bayes_adult_data_eps_1.0_with_naive_bayes,naive_bayes,adult,data,1.0,,,0.20274999999999999,0.199,"{""var_smoothing"": 0.0653813075286485}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_1.0_with_naive_bayes.pkl,2025-06-30 05:24:45.287847,completed
attack_naive_bayes_adult_data_eps_1.0_with_logistic_regression,logistic_regression,adult,data,1.0,,,0.20212499999999997,0.20175,"{""solver"": ""saga"", ""penalty"": ""l1"", ""C"": 0.0017699302940633358, ""max_iter"": 304}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_1.0_with_logistic_regression.pkl,2025-06-30 05:26:01.281789,completed
attack_naive_bayes_adult_data_eps_1.0_with_random_forest,random_forest,adult,data,1.0,,,0.20775000000000002,0.1985,"{""n_estimators"": 131, ""max_depth"": 13, ""min_samples_split"": 7, ""min_samples_leaf"": 8, ""max_features"": ""sqrt"", ""criterion"": ""gini""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_1.0_with_random_forest.pkl,2025-06-30 05:26:26.543381,completed
attack_naive_bayes_adult_algorithm_eps_10.0_with_naive_bayes,naive_bayes,adult,algorithm,10.0,,,0.20425,0.208,"{""var_smoothing"": 0.08293771511235282}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_10.0_with_naive_bayes.pkl,2025-06-30 05:26:27.397198,completed
attack_naive_bayes_adult_algorithm_eps_10.0_with_logistic_regression,logistic_regression,adult,algorithm,10.0,,,0.208875,0.209,"{""solver"": ""saga"", ""penalty"": ""l2"", ""C"": 53.25572516163067, ""max_iter"": 1007}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_10.0_with_logistic_regression.pkl,2025-06-30 05:27:21.633899,completed
attack_naive_bayes_adult_algorithm_eps_10.0_with_random_forest,random_forest,adult,algorithm,10.0,,,0.21237499999999998,0.212,"{""n_estimators"": 81, ""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 7, ""max_features"": ""sqrt"", ""criterion"": ""gini""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_10.0_with_random_forest.pkl,2025-06-30 05:27:47.663203,completed
logistic_regression_adult_none,logistic_regression,adult,none,,0,0,0.8285375395922179,0.8232172470978442,"{""solver"": ""liblinear"", ""penalty"": ""l1"", ""C"": 0.4711805615421435, ""max_iter"": 204}",experiment_results/models/logistic_regression/adult_none_eps_None.pkl,2025-06-30 05:28:35.195127,completed
logistic_regression_adult_data,logistic_regression,adult,data,0.1,0,0,0.5044365212255546,0.5044776119402985,"{""solver"": ""saga"", ""penalty"": ""l1"", ""C"": 0.0017699302940633358, ""max_iter"": 304}",experiment_results/models/logistic_regression/adult_data_eps_0.1.pkl,2025-06-30 05:29:49.189249,completed
logistic_regression_adult_data,logistic_regression,adult,data,0.5,0,0,0.5078917552298401,0.5079049198452184,"{""solver"": ""saga"", ""penalty"": ""l1"", ""C"": 0.0017699302940633358, ""max_iter"": 304}",experiment_results/models/logistic_regression/adult_data_eps_0.5.pkl,2025-06-30 05:31:17.143661,completed
logistic_regression_adult_data,logistic_regression,adult,data,1.0,0,0,0.5136965483570399,0.5137645107794362,"{""solver"": ""saga"", ""penalty"": ""l1"", ""C"": 0.0017699302940633358, ""max_iter"": 304}",experiment_results/models/logistic_regression/adult_data_eps_1.0.pkl,2025-06-30 05:33:15.579277,completed
logistic_regression_adult_data,logistic_regression,adult,data,10.0,0,0,0.6296265505002058,0.6297401879491432,"{""solver"": ""liblinear"", ""penalty"": ""l2"", ""C"": 0.003697114486625516, ""max_iter"": 281}",experiment_results/models/logistic_regression/adult_data_eps_10.0.pkl,2025-06-30 05:36:44.691965,completed
logistic_regression_adult_data,logistic_regression,adult,data,50.0,0,0,0.8185864885814345,0.8113875069098949,"{""solver"": ""saga"", ""penalty"": ""l2"", ""C"": 5.471842574286977, ""max_iter"": 478}",experiment_results/models/logistic_regression/adult_data_eps_50.0.pkl,2025-06-30 05:40:49.402746,completed
logistic_regression_adult_data,logistic_regression,adult,data,100.0,0,0,0.8268235723784517,0.8300718629076838,"{""solver"": ""saga"", ""penalty"": ""l2"", ""C"": 0.3613629117167473, ""max_iter"": 205}",experiment_results/models/logistic_regression/adult_data_eps_100.0.pkl,2025-06-30 05:49:53.265609,completed
logistic_regression_adult_algorithm,logistic_regression,adult,algorithm,0.1,0,0,0.67092379995133,0.6759535655058043,{},experiment_results/models/logistic_regression/adult_algorithm_eps_0.1.pkl,2025-06-30 05:50:23.008818,completed
logistic_regression_adult_algorithm,logistic_regression,adult,algorithm,0.5,0,0,0.7385082190980137,0.7460475400773908,{},experiment_results/models/logistic_regression/adult_algorithm_eps_0.5.pkl,2025-06-30 05:51:54.199879,completed
logistic_regression_adult_algorithm,logistic_regression,adult,algorithm,1.0,0,0,0.7712914044535825,0.7755666113875069,{},experiment_results/models/logistic_regression/adult_algorithm_eps_1.0.pkl,2025-06-30 05:54:30.213995,completed
logistic_regression_adult_algorithm,logistic_regression,adult,algorithm,10.0,0,0,0.8241148056843939,0.8194582642343836,{},experiment_results/models/logistic_regression/adult_algorithm_eps_10.0.pkl,2025-06-30 05:57:37.687215,completed
logistic_regression_adult_algorithm,logistic_regression,adult,algorithm,50.0,0,0,0.8281505549118418,0.8232172470978442,{},experiment_results/models/logistic_regression/adult_algorithm_eps_50.0.pkl,2025-06-30 06:00:40.146945,completed
